Date,Open,High,Low,Close,Adj Close,Volume
2013-01-14,659.500000,674.224976,653.674988,667.250000,532.850403,5790224
2013-01-15,695.000000,700.000000,663.500000,668.724976,534.028076,8262978
2013-01-16,668.450012,677.500000,654.500000,673.875000,538.140991,4109492
2013-01-17,674.849976,685.900024,671.500000,681.000000,543.830872,3028544
2013-01-18,681.250000,683.025024,669.025024,675.500000,539.438477,1440470
2013-01-21,676.250000,677.450012,663.549988,665.000000,531.053589,1260038
2013-01-22,663.000000,665.849976,654.049988,658.750000,526.062378,1386630
2013-01-23,657.875000,661.875000,649.200012,655.974976,525.041870,1877654
2013-01-24,652.500000,668.450012,652.500000,664.275024,531.685425,3498470
2013-01-25,661.875000,672.500000,661.875000,670.250000,536.467590,1521100
2013-01-28,670.150024,674.974976,668.974976,672.525024,538.288818,2428154
2013-01-29,670.599976,678.275024,670.150024,672.474976,538.248474,1731804
2013-01-30,670.500000,674.924988,667.900024,673.075012,538.728638,2279144
2013-01-31,674.424988,676.224976,663.200012,672.075012,537.928040,4313168
2013-02-01,672.000000,676.000000,671.075012,674.049988,539.509155,1484540
2013-02-04,674.500000,683.900024,672.575012,678.174988,542.810791,2487304
2013-02-05,672.549988,682.500000,672.549988,680.025024,544.291626,2161994
2013-02-06,681.250000,687.950012,681.000000,685.275024,548.493652,3573706
2013-02-07,680.500000,695.000000,680.500000,693.575012,555.136902,2612782
2013-02-08,693.000000,718.500000,692.549988,711.299988,569.324097,6973618
2013-02-11,712.000000,714.450012,706.125000,707.349976,566.162292,2312126
2013-02-12,704.525024,707.500000,700.924988,705.025024,564.301514,2225502
2013-02-13,704.900024,720.825012,702.549988,717.700012,574.446472,3822666
2013-02-14,715.049988,727.900024,714.500000,723.849976,579.368958,2946958
2013-02-15,722.000000,725.900024,715.325012,721.075012,577.147949,1820790
2013-02-18,720.049988,720.950012,710.000000,712.674988,570.424438,952086
2013-02-19,710.799988,724.450012,706.349976,721.775024,577.708130,744294
2013-02-20,720.750000,728.500000,720.750000,726.400024,581.409851,2261518
2013-02-21,720.349976,728.424988,720.349976,725.525024,580.709717,3849146
2013-02-22,725.000000,732.025024,721.150024,727.549988,582.330627,1310694
2013-02-25,726.500000,737.500000,725.750000,736.849976,589.774231,1730030
2013-02-26,733.500000,749.974976,733.000000,748.200012,598.858765,2853670
2013-02-27,747.625000,751.525024,738.650024,741.599976,593.576233,2556682
2013-02-28,743.125000,762.500000,742.625000,758.500000,607.102844,4599424
2013-03-01,757.549988,758.000000,749.000000,750.924988,601.039856,2537326
2013-03-04,745.500000,759.950012,745.500000,756.599976,605.581848,3136076
2013-03-05,758.500000,771.500000,754.299988,770.075012,616.367371,3440054
2013-03-06,768.075012,782.750000,768.075012,780.599976,624.791687,2299510
2013-03-07,780.500000,798.799988,779.674988,794.950012,636.277222,3908702
2013-03-08,795.000000,797.825012,787.450012,791.575012,633.576050,4341502
2013-03-11,787.500000,794.775024,778.325012,783.099976,626.792603,2221330
2013-03-12,779.000000,783.974976,774.000000,780.250000,624.511536,1809452
2013-03-13,778.025024,779.349976,774.000000,775.849976,620.989929,1794496
2013-03-14,778.500000,788.500000,771.900024,783.849976,627.392944,3051218
2013-03-15,786.000000,790.200012,780.299988,785.125000,628.413330,4212398
2013-03-18,779.924988,786.825012,777.200012,783.474976,627.092957,1694988
2013-03-19,782.250000,782.250000,770.224976,773.375000,619.008728,3739910
2013-03-20,770.000000,786.325012,769.974976,778.825012,623.370789,4168136
2013-03-21,781.500000,787.200012,776.849976,779.974976,624.291260,1664604
2013-03-22,780.700012,781.049988,766.000000,771.075012,617.168091,2714456
2013-03-25,774.250000,776.000000,764.200012,771.674988,617.648315,1857316
2013-03-26,770.049988,785.000000,768.075012,778.174988,622.850769,1781536
2013-03-28,778.000000,791.700012,770.825012,787.875000,630.614502,3065662
2013-04-01,782.500000,786.849976,775.625000,778.424988,623.050476,968812
2013-04-02,778.000000,785.599976,770.625000,783.674988,627.252625,1130332
2013-04-03,785.000000,787.500000,765.500000,771.700012,617.668213,959932
2013-04-04,770.049988,770.049988,750.500000,753.900024,603.421143,1126338
2013-04-05,752.500000,754.674988,742.049988,749.174988,599.638977,1865248
2013-04-08,749.450012,749.450012,737.500000,740.375000,592.595459,896416
2013-04-09,740.000000,756.500000,738.799988,748.700012,599.258789,1672354
2013-04-10,754.950012,769.450012,750.500000,765.224976,612.485535,2046284
2013-04-11,770.000000,775.049988,760.349976,768.450012,615.066895,2244658
2013-04-12,740.950012,762.250000,739.174988,755.875000,605.001953,5032060
2013-04-15,756.750000,757.000000,724.174988,736.224976,589.273804,5391496
2013-04-16,735.000000,746.724976,728.974976,741.575012,593.555908,3071582
2013-04-17,747.500000,749.500000,715.500000,728.325012,582.950867,5279004
2013-04-18,743.974976,747.450012,713.724976,726.375000,581.390015,8554458
2013-04-22,723.000000,729.900024,712.500000,712.650024,570.404785,2962484
2013-04-23,712.224976,724.000000,712.000000,715.275024,572.505615,3384170
2013-04-25,715.275024,715.275024,699.325012,701.150024,561.199890,7929194
2013-04-26,696.500000,696.724976,682.549988,684.674988,548.013367,4754076
