Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,18.090000,18.340000,16.590000,17.440001,16.985748,202779500
2023-04-01,17.209999,17.799999,14.710000,15.540000,15.135237,274439400
2023-05-01,15.500000,16.010000,14.980000,15.960000,15.544298,220384200
2023-06-01,15.790000,16.260000,15.120000,16.070000,15.651432,214352700
2023-07-01,16.190001,18.139999,15.330000,16.660000,16.445545,248022100
2023-08-01,16.719999,17.590000,16.430000,17.370001,17.146406,162252500
2023-09-01,17.520000,18.180000,16.719999,17.110001,16.889753,135483500
2023-10-01,17.030001,18.000000,16.209999,16.420000,16.208633,177978500
2023-11-01,16.299999,17.750000,16.270000,17.549999,17.549999,118127400
2023-12-01,17.469999,18.980000,17.290001,18.379999,18.379999,121024700
2024-01-01,18.240000,20.370001,17.549999,19.860001,19.860001,203941000
2024-02-01,19.860001,20.740000,19.680000,19.780001,19.780001,87344700
2024-02-21,19.790001,19.940001,19.680000,19.780001,19.780001,6163130
