,winner_name,subject,year,url
76,Carl Spitteler,Literature,1919,
77,Charles Édouard Guillaume,Physics,1920,/wiki/Charles_%C3%89douard_Guillaume
78,Walther Nernst,Chemistry,1920,/wiki/Walther_Nernst
79,August Krogh,Physiologyor Medicine,1920,/wiki/August_Krogh
80,Knut Hamsun,Literature,1920,/wiki/Knut_Hamsun
81,Albert Einstein,Physics,1921,/wiki/Albert_Einstein
82,Frederick Soddy,Chemistry,1921,/wiki/Frederick_Soddy
83,None,Physiologyor Medicine,1921,/wiki/Anatole_France
84,Anatole France,Literature,1921,/wiki/Hjalmar_Branting
85,Niels Bohr,Physics,1922,/wiki/Niels_Bohr
86,Francis William Aston,Chemistry,1922,/wiki/Francis_William_Aston
87,Archibald Hill;Otto Fritz Meyerhof,Physiologyor Medicine,1922,/wiki/Archibald_Hill
88,Jacinto Benavente,Literature,1922,/wiki/Otto_Fritz_Meyerhof
89,Robert Andrews Millikan,Physics,1923,/wiki/Robert_Andrews_Millikan
90,Fritz Pregl,Chemistry,1923,/wiki/Fritz_Pregl
91,Frederick Banting;John Macleod,Physiologyor Medicine,1923,/wiki/Frederick_Banting
92,W. B. Yeats,Literature,1923,/wiki/John_Macleod_(physiologist)
93,Manne Siegbahn,Physics,1924,/wiki/Manne_Siegbahn
94,None,Chemistry,1924,/wiki/Willem_Einthoven
95,Willem Einthoven,Physiologyor Medicine,1924,
96,Władysław Reymont,Literature,1924,
97,James Franck;Gustav Ludwig Hertz,Physics,1925,/wiki/James_Franck
98,Richard Adolf Zsigmondy,Chemistry,1925,/wiki/Gustav_Ludwig_Hertz
99,None,Physiologyor Medicine,1925,/wiki/Richard_Adolf_Zsigmondy
100,George Bernard Shaw,Literature,1925,/wiki/George_Bernard_Shaw
101,Jean Baptiste Perrin,Physics,1926,/wiki/Jean_Baptiste_Perrin
102,Theodor Svedberg,Chemistry,1926,/wiki/Theodor_Svedberg
103,Johannes Fibiger,Physiologyor Medicine,1926,/wiki/Johannes_Fibiger
104,Grazia Deledda,Literature,1926,/wiki/Grazia_Deledda
105,Arthur Compton;Charles Thomson Rees Wilson,Physics,1927,/wiki/Arthur_Compton
106,Heinrich Otto Wieland,Chemistry,1927,/wiki/Charles_Thomson_Rees_Wilson
107,Julius Wagner-Jauregg,Physiologyor Medicine,1927,/wiki/Heinrich_Otto_Wieland
108,Henri Bergson,Literature,1927,/wiki/Julius_Wagner-Jauregg
109,Owen Willans Richardson,Physics,1928,/wiki/Owen_Willans_Richardson
110,Adolf Windaus,Chemistry,1928,/wiki/Adolf_Windaus
111,Charles Nicolle,Physiologyor Medicine,1928,/wiki/Charles_Nicolle
112,Sigrid Undset,Literature,1928,
113,Louis de Broglie,Physics,1929,/wiki/Louis_de_Broglie
114,Arthur Harden;Hans von Euler-Chelpin,Chemistry,1929,/wiki/Arthur_Harden
115,Christiaan Eijkman;Frederick Gowland Hopkins,Physiologyor Medicine,1929,/wiki/Hans_von_Euler-Chelpin
116,Thomas Mann,Literature,1929,/wiki/Christiaan_Eijkman
117,C. V. Raman,Physics,1930,/wiki/C._V._Raman
118,Hans Fischer,Chemistry,1930,/wiki/Hans_Fischer
119,Karl Landsteiner,Physiologyor Medicine,1930,/wiki/Karl_Landsteiner
120,Sinclair Lewis,Literature,1930,/wiki/Sinclair_Lewis
121,None,Physics,1931,/wiki/Carl_Bosch
122,Carl Bosch;Friedrich Bergius,Chemistry,1931,/wiki/Friedrich_Bergius
123,Otto Heinrich Warburg,Physiologyor Medicine,1931,/wiki/Otto_Heinrich_Warburg
124,Erik Axel Karlfeldt,Literature,1931,/wiki/Erik_Axel_Karlfeldt
125,Werner Heisenberg,Physics,1932,/wiki/Werner_Heisenberg
126,Irving Langmuir,Chemistry,1932,/wiki/Irving_Langmuir
127,Charles Scott Sherrington;Edgar Adrian,Physiologyor Medicine,1932,/wiki/Charles_Scott_Sherrington
128,John Galsworthy,Literature,1932,/wiki/Edgar_Adrian
129,Erwin Schrödinger;Paul Dirac,Physics,1933,/wiki/Erwin_Schr%C3%B6dinger
130,None,Chemistry,1933,/wiki/Paul_Dirac
131,Thomas Hunt Morgan,Physiologyor Medicine,1933,/wiki/Thomas_Hunt_Morgan
132,Ivan Bunin,Literature,1933,/wiki/Ivan_Bunin
133,None,Physics,1934,/wiki/Harold_Urey
134,Harold Urey,Chemistry,1934,/wiki/George_Whipple
